"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"490","CG2118, isoform B OS=Drosophila melanogaster GN=CG2118 PE=1 SV=1",3.064,4.4,3.837,4.61,3.689,3.438,3.348,3.123,2.678,1.235,-1.156,0.059,"CG2118, isoform B","CG2118","down"
"1206","Heterogeneous nuclear ribonucleoprotein at 98DE, isoform F OS=Drosophila melanogaster GN=Hrb98DE PE=1 SV=1",7.508,7.395,7.53,7.43,7.632,6.129,6.11,6.056,6.003,5.77,-1.486,0,"Heterogeneous nuclear ribonucleoprotein at 98DE, isoform F","Hrb98DE","down"
"1504","Probable cytochrome P450 6a20 OS=Drosophila melanogaster GN=Cyp6a20 PE=2 SV=2",9.848,9.858,9.618,9.47,9.828,8.746,8.794,8.173,7.679,9.071,-1.232,0.009,"Probable cytochrome P450 6a20","Cyp6a20","down"
"2250","Vacuolar H[+] ATPase 36kD subunit 3, isoform C OS=Drosophila melanogaster GN=Vha36-3 PE=4 SV=1",7.671,7.582,7.557,7.599,7.446,6.352,6.006,5.818,5.928,6.049,-1.541,0,"Vacuolar H[+] ATPase 36kD subunit 3, isoform C","Vha36-3","down"
"2329","Nuclear fallout, isoform J OS=Drosophila melanogaster GN=nuf PE=4 SV=1",7.567,7.86,7.75,7.831,7.753,7.095,6.857,6.1,6.32,6.498,-1.178,0.003,"Nuclear fallout, isoform J","nuf","down"
"2384","MIP20743p OS=Drosophila melanogaster GN=scu PE=1 SV=1",6.824,7.606,7.264,7.562,7.304,7.04,6.791,5.927,5.295,4.751,-1.351,0.03,"MIP20743p","scu","down"
"2691","Probable 28S ribosomal protein S16, mitochondrial OS=Drosophila melanogaster GN=mRpS16 PE=2 SV=1",8.329,8.591,8.427,8.54,8.42,7.423,7.488,7.42,7.443,7.333,-1.04,0,"Probable 28S ribosomal protein S16, mitochondrial","mRpS16","down"
"2843","CG4019, isoform F OS=Drosophila melanogaster GN=Eglp4 PE=1 SV=1",6.447,6.876,6.841,6.754,6.743,6.183,6.03,5.699,5.303,5.072,-1.074,0.008,"CG4019, isoform F","Eglp4","down"
"2903","NADH dehydrogenase (Ubiquinone) 51 kDa subunit-like 1 OS=Drosophila melanogaster GN=ND-51L1 PE=4 SV=1",6.527,7.275,7.546,7.676,7.496,6.761,5.985,4.275,4.048,3.629,-2.364,0.017,"NADH dehydrogenase (Ubiquinone) 51 kDa subunit-like 1","ND-51L1","down"
"2965","CG2064 OS=Drosophila melanogaster GN=CG2064 PE=1 SV=1",7.653,7.81,7.491,8.351,7.706,6.828,6.004,7.112,6.344,6.4,-1.265,0.006,"CG2064","CG2064","down"
"3058","LD20292p OS=Drosophila melanogaster GN=Vps11 PE=1 SV=1",7.142,7.776,7.422,7.525,7.491,7.305,6.92,6.156,6.065,5.41,-1.099,0.026,"LD20292p","Vps11","down"
"3295","GH06923p OS=Drosophila melanogaster GN=Reps PE=1 SV=1",4.798,5.76,5.061,5.589,5.842,5.48,4.717,4.34,3.92,3.502,-1.018,0.047,"GH06923p","Reps","down"
"3591","G protein alpha o subunit, isoform J OS=Drosophila melanogaster GN=Galphao PE=1 SV=1",7.337,7.929,7.674,7.729,7.721,7.487,7.323,6.623,6.192,4.995,-1.154,0.05,"G protein alpha o subunit, isoform J","Galphao","down"
"3593","Frizzled 2, isoform F OS=Drosophila melanogaster GN=fz2 PE=3 SV=1",3.458,2.638,2.803,3.078,3.582,1.734,3.211,2.327,0.905,2.152,-1.046,0.051,"Frizzled 2, isoform F","fz2","down"
"3835","Histone acetyltransferase OS=Drosophila melanogaster GN=enok PE=1 SV=2",1.496,3.341,2.869,2.934,2.74,1.365,1.696,1.138,1.075,2.457,-1.13,0.036,"Histone acetyltransferase","enok","down"
"4065","CG9702, isoform A OS=Drosophila melanogaster GN=CG9702 PE=3 SV=1",3.857,4.126,3.869,3.438,3.129,2.613,3.043,3.208,2.343,1.689,-1.105,0.021,"CG9702, isoform A","CG9702","down"
"4080","Double hit, isoform B OS=Drosophila melanogaster GN=Dhit PE=1 SV=1",6.043,6.663,6.427,6.532,6.263,6.355,5.803,5.174,4.587,4.704,-1.061,0.029,"Double hit, isoform B","Dhit","down"
"4096","Mec2 OS=Drosophila melanogaster GN=Mec2 PE=1 SV=1",6.126,6.786,6.465,6.608,6.589,5.743,5.377,5.101,4.871,4.902,-1.316,0.002,"Mec2","Mec2","down"
"4135","Connectin, isoform B OS=Drosophila melanogaster GN=Con PE=2 SV=1",6.225,6.67,6.396,6.589,6.449,6.181,6.079,5.314,4.863,4.779,-1.023,0.023,"Connectin, isoform B","Con","down"
"4232","CG1246, isoform B OS=Drosophila melanogaster GN=Dmel\CG1246 PE=2 SV=1",5.739,5.96,5.883,6.043,5.931,5.088,4.916,4.442,4.742,4.027,-1.268,0.003,"CG1246, isoform B","Dmel\CG1246","down"
"4399","Sin3A-associated protein 130, isoform C OS=Drosophila melanogaster GN=Sap130 PE=1 SV=1",5.601,6.539,6.07,6.36,6.287,5.681,5.325,4.798,4.73,4.116,-1.241,0.014,"Sin3A-associated protein 130, isoform C","Sap130","down"
"4507","IP13321p OS=Drosophila melanogaster GN=CG15784 PE=1 SV=1",4.399,4.727,4.079,4.929,4.185,2.508,2.09,3.807,2.713,2.065,-1.828,0.006,"IP13321p","CG15784","down"
"4531","CG2921 OS=Drosophila melanogaster GN=CG2921 PE=2 SV=1",6.052,6.386,6.248,6.354,6.259,5.014,4.824,5.01,4.751,4.634,-1.413,0,"CG2921","CG2921","down"
"4555","GH07575p OS=Drosophila melanogaster GN=CG10912 PE=2 SV=1",4.987,6.509,4.476,7.237,5.295,6.411,4.644,4.321,3.559,3.793,-1.155,0.162,"GH07575p","CG10912","down"
"4610","Uncharacterized protein, isoform K OS=Drosophila melanogaster GN=Dmel\CG42671 PE=4 SV=1",3.013,3.425,3.178,2.822,3.129,1.424,2.498,2.798,2.298,1.434,-1.024,0.021,"Uncharacterized protein, isoform K","Dmel\CG42671","down"
"4678","Dilatory, isoform D OS=Drosophila melanogaster GN=dila PE=4 SV=2",3.193,3.734,2.993,3.423,3.582,3.757,1.654,1.448,0.408,0.728,-1.786,0.03,"Dilatory, isoform D","dila","down"
"4679","CG4563 OS=Drosophila melanogaster GN=CG4563 PE=1 SV=1",6.366,6.678,6.575,6.496,6.483,5.548,5.719,5.497,5.175,5.238,-1.084,0,"CG4563","CG4563","down"
"4781","LP13185p OS=Drosophila melanogaster GN=CG34348 PE=1 SV=2",5.688,5.209,5.531,5.606,5.695,5.361,5.6,4.275,3.898,3.248,-1.069,0.059,"LP13185p","CG34348","down"
